path	tag_sha256	head_sha256	equal
release-baselines/public-api-0.1.0/swallowtail-protocol-acp.txt	ea4c102eb96f90bc6df79957dff079b683c0caaff6d27a87ac94476676fc19cf	ea4c102eb96f90bc6df79957dff079b683c0caaff6d27a87ac94476676fc19cf	yes
release-baselines/public-api-0.1.0/swallowtail-protocol-openai-chat.txt	d6b2c3933a11084e2f5bd8cf15a5b8372dfdd0a9506b0705dd86d8d0a821f8b3	d6b2c3933a11084e2f5bd8cf15a5b8372dfdd0a9506b0705dd86d8d0a821f8b3	yes
release-baselines/public-api-0.1.0/swallowtail-runtime.txt	639490fa80dce0c4ffcb6b0fb349dac37cec3e92e1961c464872a6a80767b7cb	639490fa80dce0c4ffcb6b0fb349dac37cec3e92e1961c464872a6a80767b7cb	yes
release-baselines/public-api-0.1.0/swallowtail-testkit.txt	e35b47f6f0ff756c105f6d9c4a0a36656e96167d74a5b834485e7b8e11891767	e35b47f6f0ff756c105f6d9c4a0a36656e96167d74a5b834485e7b8e11891767	yes
release-baselines/public-api-0.1.0/swallowtail-transport-acp-remote.txt	0bffa781addc9ee1723a43929cff5679f78c236e0262097665b79137b9558359	0bffa781addc9ee1723a43929cff5679f78c236e0262097665b79137b9558359	yes
release-baselines/public-api-0.2.0/packages.txt	a774f2c4b6ccf73fe923762655ec0bb0b50cd2d0f399b71c9591e361d0ff4a37	a774f2c4b6ccf73fe923762655ec0bb0b50cd2d0f399b71c9591e361d0ff4a37	yes
release-baselines/public-api-0.2.0/swallowtail-adapter-muse.txt	37b4a98e1a29cc891bbd9fed9656bb181e9a68a324af90bd85c84445a19da2a6	37b4a98e1a29cc891bbd9fed9656bb181e9a68a324af90bd85c84445a19da2a6	yes
release-baselines/public-api-0.3.0/packages.txt	a774f2c4b6ccf73fe923762655ec0bb0b50cd2d0f399b71c9591e361d0ff4a37	a774f2c4b6ccf73fe923762655ec0bb0b50cd2d0f399b71c9591e361d0ff4a37	yes
release-baselines/public-api-0.3.0/swallowtail-adapter-alibaba-model-studio.txt	9128f4ea8b747cc0b5ff8f776725f13796ab8821db74c6ffd642418bb75031f6	9128f4ea8b747cc0b5ff8f776725f13796ab8821db74c6ffd642418bb75031f6	yes
release-baselines/public-api-0.3.0/swallowtail-adapter-anthropic.txt	efec612a32b5e0277bd5dce363a0637b18aef300190f3fda1401a8c99e8c3f6f	efec612a32b5e0277bd5dce363a0637b18aef300190f3fda1401a8c99e8c3f6f	yes
release-baselines/public-api-0.3.0/swallowtail-adapter-antigravity.txt	4efef12e5c4cc80ed6267bf9ccd68bad2b612b94b745f9e1cd37d8b4cafd1c21	4efef12e5c4cc80ed6267bf9ccd68bad2b612b94b745f9e1cd37d8b4cafd1c21	yes
release-baselines/public-api-0.3.0/swallowtail-adapter-bedrock.txt	784c6cb964eacadc978d61d004be73ac6c33d450000f49ef4557feb07e698a5b	784c6cb964eacadc978d61d004be73ac6c33d450000f49ef4557feb07e698a5b	yes
release-baselines/public-api-0.3.0/swallowtail-adapter-claude-agent.txt	e256277f0e98904eb477d630a5827473be2f1e2b98309ab032b77a3ab1c0f3dc	e256277f0e98904eb477d630a5827473be2f1e2b98309ab032b77a3ab1c0f3dc	yes
release-baselines/public-api-0.3.0/swallowtail-adapter-codex.txt	77c0951e93c63cf596e6d6f24f4eb5b4cf0386810db696f5251505c62c03bc9f	77c0951e93c63cf596e6d6f24f4eb5b4cf0386810db696f5251505c62c03bc9f	yes
release-baselines/public-api-0.3.0/swallowtail-adapter-cursor.txt	b0cedd990a686b24ddd83567738838699dd25b23399227bb92a011ecb6789700	b0cedd990a686b24ddd83567738838699dd25b23399227bb92a011ecb6789700	yes
release-baselines/public-api-0.3.0/swallowtail-adapter-deepseek.txt	99304d86e749b5795922e674694c10824445af90bc541789e47d0666a927ce47	99304d86e749b5795922e674694c10824445af90bc541789e47d0666a927ce47	yes
release-baselines/public-api-0.3.0/swallowtail-adapter-gemini.txt	64eba79694d0ca6b8f0a8b0b21201cac2cecc7111946eb1c9739e63276a63c2e	64eba79694d0ca6b8f0a8b0b21201cac2cecc7111946eb1c9739e63276a63c2e	yes
release-baselines/public-api-0.3.0/swallowtail-adapter-grok.txt	1cb0f68045e6377dc19d4144db15d4af7a99b1caa0146006685f8f82f03c8670	1cb0f68045e6377dc19d4144db15d4af7a99b1caa0146006685f8f82f03c8670	yes
release-baselines/public-api-0.3.0/swallowtail-adapter-kimi-platform.txt	58840abb9c2f826f43b90b795ccc2d71384580f93a053dd9778e86c2c22e75a4	58840abb9c2f826f43b90b795ccc2d71384580f93a053dd9778e86c2c22e75a4	yes
release-baselines/public-api-0.3.0/swallowtail-adapter-kimi.txt	bbcee99e1e162c82093e858c2211e08ce0eb1132518a871f24e26f51db67d167	bbcee99e1e162c82093e858c2211e08ce0eb1132518a871f24e26f51db67d167	yes
release-baselines/public-api-0.3.0/swallowtail-adapter-llama-cpp.txt	92098782d021e052e772de9d31f56eb99edd0a2ec813c9d2f3e46963974e4df2	92098782d021e052e772de9d31f56eb99edd0a2ec813c9d2f3e46963974e4df2	yes
